GeneID	interaction.padj	earlySig	middleSig	lateSig	RegulationOnDS	CNV_SW	GWAS_min_pvalue	1k_min_pvalue
AC177831.3_FG004	0.198794015	no	no	no	NA	noCNV	0.296036595	0.296036595
AC177838.2_FG015	0.212036945	no	no	no	NA	noCNV	NA	0.380181541
AC177897.2_FG002	0.090826036	no	no	no	NA	noCNV	0.148609078	0.083924235
AC177899.2_FG009	0.895908847	no	no	no	NA	noCNV	NA	0.227557531
AC177908.3_FG002	0.113279361	no	no	no	NA	noCNV	0.089192748	0.089192748
AC177924.2_FG003	0.003596453	no	yes	no	others	noCNV	NA	0.524363049
AC177936.6_FG008	0.860767656	no	no	no	NA	noCNV	0.574366419	0.574366419
AC177947.2_FG003	0.665785602	no	no	no	NA	noCNV	NA	NA
AC182482.3_FG003	0.003650719	no	yes	no	UpOnDS	noCNV	0.018058585	0.014556805
AC182617.3_FG001	9.33E-08	no	no	no	DownOnDS	noCNV	0.121728474	0.121728474
AC182838.3_FG006	0.773847383	no	no	no	NA	noCNV	NA	NA
AC183315.4_FG006	0.008925279	no	no	no	others	noCNV	0.041410159	0.041410159
AC183319.3_FG001	0.398625156	no	no	no	NA	noCNV	0.280344233	0.071275485
AC183509.1_FG001	0.926629903	no	no	no	NA	noCNV	NA	NA
AC183932.3_FG007	0.008231029	no	no	no	DownOnDS	noCNV	0.011802238	0.011033941
AC183950.2_FG004	0.910148899	no	no	no	NA	noCNV	0.235828219	0.006705622
AC183950.2_FG005	0.823036423	no	no	no	NA	noCNV	0.689616284	0.009806715
AC183968.2_FG001	0.937651975	no	no	no	NA	noCNV	NA	NA
AC184130.4_FG012	0.969389223	no	no	no	NA	noCNV	0.013750194	0.013750194
AC184169.3_FG001	0.759813311	no	no	no	NA	noCNV	0.186377203	0.186377203
AC184831.3_FG003	0.860584644	no	no	no	NA	noCNV	NA	NA
AC185108.3_FG010	0.612394854	no	no	no	NA	noCNV	0.047302965	0.047302965
AC185226.4_FG001	0.000816277	no	no	no	UpOnDS	noCNV	0.17219664	0.17219664
AC185254.4_FG002	0.001032026	no	no	no	others	noCNV	NA	NA
AC185276.2_FG004	0.15008144	no	no	no	NA	noCNV	NA	NA
AC185300.4_FG002	0.681936055	no	no	no	NA	noCNV	0.770208834	0.572137012
AC185415.3_FG005	0.114960391	no	no	no	NA	noCNV	0.326515927	0.326515927
AC185422.3_FG005	0.309647162	no	no	no	NA	noCNV	0.226382476	0.226382476
AC185471.3_FG005	0.276736298	no	no	no	NA	noCNV	0.757226229	0.019706269
AC185475.3_FG001	0.420021199	no	no	no	NA	noCNV	0.575290538	0.575290538
AC185478.4_FG005	0.014010447	no	no	no	others	noCNV	NA	0.108758112
AC185588.2_FG002	0.058400546	no	no	no	NA	noCNV	NA	NA
AC185593.3_FG003	0.507267034	no	no	no	NA	noCNV	0.129923861	0.129923861
AC186164.3_FG001	0.147880725	no	no	no	NA	noCNV	NA	0.980888761
AC186166.3_FG008	0.704183632	no	no	no	NA	noCNV	0.280825648	0.061099407
AC186231.4_FG002	0.672984523	no	no	no	NA	DownCNV/PAV	0.200788007	0.200788007
AC186233.3_FG007	0.295071722	no	no	no	NA	DownCNV/PAV	NA	NA
AC186512.3_FG007	0.101648365	no	no	no	NA	noCNV	0.03187138	0.03187138
AC186577.3_FG006	0.33375243	no	no	no	NA	noCNV	NA	NA
AC186603.6_FG003	0.013369385	no	no	yes	others	noCNV	0.187446328	0.093830267
AC186606.4_FG003	0.632958946	no	no	no	NA	noCNV	0.764324761	0.764324761
AC186897.4_FG016	0.968278793	no	no	no	NA	noCNV	NA	0.214241505
AC187090.3_FG011	0.906959364	no	no	no	NA	noCNV	NA	NA
AC187098.4_FG011	0.371421102	no	no	no	NA	noCNV	0.038254972	0.038254972
AC187157.4_FG001	0.000635341	no	no	no	UpOnDS	noCNV	NA	0.270810801
AC187157.4_FG002	0.670681471	no	no	no	NA	noCNV	0.036845466	0.036845466
AC187157.4_FG005	1.09E-07	no	no	no	UpOnDS	noCNV	0.764827304	0.1827979
AC187243.3_FG005	0.359332309	no	no	no	NA	noCNV	NA	0.033762961
AC187262.4_FG007	0.002056352	no	no	no	DownOnDS	noCNV	0.070401012	0.016583137
AC187263.4_FG001	5.79E-06	no	yes	no	UpOnDS	noCNV	0.003572452	0.003572452
AC187551.3_FG002	0.855364134	no	no	no	NA	noCNV	0.738482032	0.352103544
AC187567.4_FG004	0.565221317	no	no	no	NA	noCNV	NA	NA
AC187782.4_FG009	0.102462728	no	no	no	NA	noCNV	NA	NA
AC187843.3_FG006	0.087943152	no	no	no	NA	noCNV	NA	NA
AC187891.3_FG006	0.496087772	no	no	no	NA	noCNV	0.502981105	0.00841432
AC188023.3_FG005	0.409958164	no	no	no	NA	noCNV	0.169716969	0.006855906
AC188296.3_FG004	0.003273337	no	no	no	UpOnDS	noCNV	NA	NA
AC188710.4_FG006	0.453780764	no	no	no	NA	noCNV	0.600490395	0.600490395
AC188831.3_FG005	0.491228636	no	no	no	NA	noCNV	0.019558111	0.019558111
AC188838.3_FG005	0.036802659	no	no	yes	DownOnDS	noCNV	0.029300543	0.014298649
AC189750.4_FG004	0.077491588	no	no	no	NA	noCNV	0.114977502	0.027653797
AC189792.3_FG005	0.864470418	no	no	no	NA	noCNV	NA	NA
AC189795.3_FG001	0.016887708	no	no	no	DownOnDS	noCNV	NA	NA
AC189879.3_FG003	0.004747556	no	yes	no	DownOnDS	noCNV	0.090799623	0.090799623
AC190491.1_FG002	0.267932204	no	no	no	NA	noCNV	NA	NA
AC190526.3_FG004	0.763914732	no	no	no	NA	DownCNV/PAV	NA	NA
AC190609.3_FG002	0.33020234	no	no	no	NA	noCNV	0.314568381	0.314568381
AC190609.3_FG003	2.06E-09	no	no	no	UpOnDS	noCNV	0.773507699	0.257799275
AC190609.3_FG004	0.022132534	no	no	no	UpOnDS	noCNV	0.358073444	0.358073444
AC190609.3_FG005	0.375867072	no	no	no	NA	noCNV	NA	NA
AC190623.3_FG001	0.039686137	no	yes	yes	others	noCNV	0.318967709	0.318967709
AC190623.3_FG002	0.484284958	no	no	no	NA	noCNV	NA	NA
AC190628.4_FG007	0.068678401	no	no	no	NA	noCNV	0.133722635	0.133722635
AC190743.3_FG012	0.862820271	no	no	no	NA	noCNV	NA	NA
AC190750.2_FG014	0.442000941	no	no	no	NA	noCNV	0.202272984	0.202272984
AC190772.4_FG011	0.023115748	no	no	no	DownOnDS	noCNV	NA	0.300136748
AC190788.2_FG004	0.748314288	no	no	no	NA	noCNV	NA	NA
AC190788.2_FG005	0.480290987	no	no	no	NA	noCNV	NA	NA
AC190792.2_FG006	0.511754511	no	no	no	NA	DownCNV/PAV	0.032795094	0.032795094
AC190811.1_FG003	0.906766265	no	no	no	NA	noCNV	0.186099099	0.186099099
AC190841.2_FG007	0.725421675	no	no	no	NA	noCNV	0.18029956	0.18029956
AC190885.4_FG006	3.40E-06	no	yes	no	others	noCNV	NA	NA
AC190909.3_FG004	0.531196677	no	no	no	NA	noCNV	NA	NA
AC190915.3_FG007	0.337626459	no	no	no	NA	noCNV	NA	NA
AC190922.3_FG007	0.961723752	no	no	no	NA	noCNV	0.948623792	0.948623792
AC190933.3_FG004	0.125558457	no	no	no	NA	noCNV	0.261631281	0.193281246
AC190985.3_FG006	0.715606805	no	no	no	NA	noCNV	NA	0.154152361
AC190999.2_FG004	0.015229742	no	yes	no	DownOnDS	noCNV	0.158656238	0.015206236
AC191009.3_FG004	0.333895027	no	no	no	NA	noCNV	0.104873324	0.104873324
AC191012.2_FG001	0.915383038	no	no	no	NA	noCNV	NA	NA
AC191048.2_FG006	0.695740134	no	no	no	NA	noCNV	0.099947019	0.099947019
AC191069.3_FG004	0.31685226	no	no	no	NA	noCNV	0.101652396	0.101652396
AC191113.2_FG002	0.000880614	yes	no	no	UpOnDS	noCNV	0.087160908	0.087160908
AC191251.3_FG005	0.913172236	no	no	no	NA	noCNV	0.26106774	0.26106774
AC191283.3_FG004	0.016846917	no	no	no	others	noCNV	0.37226147	0.37226147
AC191317.3_FG009	0.998316912	no	no	no	NA	noCNV	NA	NA
AC191360.3_FG004	0.999660771	no	no	no	NA	noCNV	NA	NA
AC191421.3_FG001	0.301138362	no	no	no	NA	noCNV	NA	NA
AC191526.3_FG004	0.804115885	no	no	no	NA	noCNV	NA	NA
AC191539.4_FG001	0.691881188	no	no	no	NA	noCNV	NA	NA
AC191548.3_FG005	0.736730098	no	no	no	NA	noCNV	NA	NA
AC191551.3_FG003	0.959907622	no	no	no	NA	DownCNV/PAV	NA	NA
AC191575.2_FG001	0.099510327	no	no	no	NA	noCNV	NA	0.152107627
AC191686.3_FG002	0.820274415	no	no	no	NA	noCNV	NA	NA
AC191771.3_FG008	0.970029796	no	no	no	NA	noCNV	0.094182753	0.094182753
AC191804.4_FG002	0.028740726	no	no	no	UpOnDS	noCNV	NA	NA
AC192244.3_FG007	1.18E-10	no	no	no	DownOnDS	noCNV	0.079992625	0.079992625
AC192362.3_FG002	0.383392086	no	no	no	NA	noCNV	0.016727033	0.016727033
AC192362.3_FG003	0.25671443	no	no	no	NA	noCNV	0.093780495	0.016727033
AC192367.2_FG002	0.613854088	no	no	no	NA	noCNV	0.127956065	0.127956065
AC192372.3_FG003	0.561424999	no	no	no	NA	noCNV	NA	0.417037959
AC192451.3_FG001	0.075035495	no	no	no	NA	noCNV	0.330708021	0.330708021
AC193319.3_FG004	0.998363807	no	no	no	NA	noCNV	NA	NA
AC193324.3_FG002	0.863763809	no	no	no	NA	noCNV	NA	NA
AC193353.3_FG002	0.252494764	no	no	no	NA	noCNV	NA	NA
AC193379.3_FG001	0.93141617	no	no	no	NA	noCNV	NA	0.506641439
AC193402.3_FG004	0.00021129	no	no	no	UpOnDS	noCNV	NA	NA
AC193591.3_FG001	0.41245872	no	no	no	NA	DownCNV/PAV	NA	0.798674161
AC193598.3_FG002	0.717155294	no	no	no	NA	DownCNV/PAV	0.053854124	0.053854124
AC193632.2_FG002	0.000546614	no	no	yes	others	noCNV	0.05822834	0.05822834
AC193658.3_FG001	0.122461213	no	no	no	NA	noCNV	NA	0.234438115
AC193754.3_FG008	0.968531892	no	no	no	NA	noCNV	0.092227057	0.092227057
AC193786.3_FG005	0.003193618	no	no	no	others	noCNV	NA	NA
AC194005.3_FG004	2.44E-08	no	no	no	DownOnDS	noCNV	NA	NA
AC194022.3_FG013	0.009270685	no	yes	no	others	noCNV	0.008979402	0.003101843
AC194056.3_FG008	0.138841809	no	no	no	NA	noCNV	NA	0.117218409
AC194157.3_FG001	0.599508637	no	no	no	NA	noCNV	NA	NA
AC194158.3_FG005	0.508714182	no	no	no	NA	noCNV	0.219557403	0.032136631
AC194176.3_FG002	0.896014628	no	no	no	NA	noCNV	NA	NA
AC194264.3_FG006	0.804113301	no	no	no	NA	noCNV	NA	0.181056778
AC194341.4_FG002	0.022063128	no	no	no	DownOnDS	noCNV	0.909146553	0.240295343
AC194341.4_FG004	0.427008053	no	no	no	NA	noCNV	0.038242259	0.038242259
AC194356.3_FG002	0.822839931	no	no	no	NA	noCNV	NA	NA
AC194362.3_FG003	0.205804661	no	no	no	NA	noCNV	NA	0.704661442
AC194402.2_FG004	0.530196875	no	no	no	NA	noCNV	0.723135707	0.723135707
AC194425.3_FG005	4.09E-16	no	yes	yes	DownOnDS	noCNV	0.13505891	0.13505891
AC194485.3_FG002	0.00109957	no	no	no	UpOnDS	noCNV	NA	NA
AC194609.2_FG003	0.033930656	no	yes	no	DownOnDS	noCNV	NA	0.085795763
AC194824.2_FG005	0.966180154	no	no	no	NA	noCNV	NA	NA
AC194852.3_FG007	0.075024867	no	no	no	NA	noCNV	0.861841413	0.861841413
AC194878.3_FG001	0.144187713	no	no	no	NA	noCNV	NA	NA
AC194914.3_FG002	0.671747511	no	no	no	NA	noCNV	0.168681927	0.168681927
AC194937.3_FG004	0.380201269	no	no	no	NA	noCNV	0.793902263	0.793902263
AC194965.4_FG001	0.040509638	no	no	no	UpOnDS	noCNV	0.012618677	0.012618677
AC194965.4_FG004	0.279133252	no	no	no	NA	noCNV	0.171789759	0.124843627
AC194970.5_FG001	0.219390424	no	no	no	NA	noCNV	0.692397118	0.15593025
AC194970.5_FG002	0.421890938	no	no	no	NA	noCNV	0.388701538	0.023517822
AC194970.5_FG004	0.001881735	no	no	no	UpOnDS	noCNV	0.083519353	0.006997735
AC194970.5_FG005	2.98E-07	no	no	no	DownOnDS	noCNV	0.042267442	0.042267442
AC194970.5_FG009	0.36020885	no	no	no	NA	noCNV	0.001944153	0.001944153
AC194974.3_FG005	0.000388767	no	yes	no	others	noCNV	NA	NA
AC195135.3_FG002	0.016076655	no	no	yes	others	noCNV	0.6174769	0.6174769
AC195147.3_FG008	0.216091171	no	no	no	NA	noCNV	NA	NA
AC195154.3_FG004	0.000881734	no	no	no	UpOnDS	noCNV	NA	NA
AC195172.3_FG001	0.031680133	no	no	no	UpOnDS	DownCNV/PAV	NA	0.637927186
AC195331.3_FG008	0.361093869	no	no	no	NA	noCNV	0.038326616	0.031474281
AC195340.3_FG001	0.003620963	no	no	no	DownOnDS	noCNV	0.010662859	0.00403935
AC195340.3_FG002	0.248662262	no	no	no	NA	noCNV	0.040085073	0.040085073
AC195340.3_FG004	0.97991413	no	no	no	NA	noCNV	0.005310894	0.005310894
AC195351.3_FG003	0.793920345	no	no	no	NA	noCNV	NA	NA
AC195389.3_FG001	0.011479665	no	no	yes	others	noCNV	NA	NA
AC195587.4_FG004	8.28E-05	no	no	no	UpOnDS	noCNV	0.020397572	0.020397572
AC195785.3_FG004	0.986345866	no	no	no	NA	noCNV	0.137803117	0.137803117
AC195860.3_FG005	0.222130381	no	no	no	NA	noCNV	0.119950809	0.119950809
AC195860.3_FG006	0.602843058	no	no	no	NA	noCNV	0.256574226	0.116876307
AC195874.2_FG002	0.000157013	no	no	no	DownOnDS	noCNV	0.01789069	0.01789069
AC195954.3_FG001	0.837508449	no	no	no	NA	noCNV	NA	NA
AC195957.3_FG003	0.846370089	no	no	no	NA	noCNV	0.454560853	0.454560853
AC195980.2_FG004	0.838253364	no	no	no	NA	noCNV	NA	0.575254148
AC196043.3_FG005	0.415810771	no	no	no	NA	noCNV	NA	NA
AC196059.3_FG003	0.274063646	no	no	no	NA	noCNV	0.021427729	0.021427729
AC196066.3_FG003	0.053269443	no	no	no	NA	noCNV	0.4151623	0.4151623
AC196090.3_FG006	0.208686819	no	no	no	NA	noCNV	0.005156398	0.005156398
AC196110.4_FG004	5.67E-30	no	yes	yes	DownOnDS	noCNV	NA	NA
AC196156.3_FG003	0.462219544	no	no	no	NA	noCNV	0.895737463	0.832171148
AC196158.3_FG002	0.0326335	no	no	no	UpOnDS	noCNV	NA	NA
AC196171.6_FG002	0.121831246	no	no	no	NA	noCNV	NA	NA
AC196202.3_FG007	0.369651628	no	no	no	NA	noCNV	NA	0.547196341
AC196278.2_FG003	0.733959214	no	no	no	NA	noCNV	0.621980282	0.621980282
AC196278.2_FG004	0.83730735	no	no	no	NA	noCNV	0.411703433	0.411703433
AC196426.3_FG007	0.4945802	no	no	no	NA	noCNV	0.12035992	0.097094586
AC196465.3_FG006	0.307736	no	no	no	NA	noCNV	0.036181948	0.036181948
AC196475.3_FG005	0.095450562	no	no	no	NA	noCNV	0.498666609	0.498666609
AC196488.3_FG007	0.490189325	no	no	no	NA	noCNV	NA	NA
AC196489.3_FG002	0.515430781	no	no	no	NA	noCNV	0.25518703	0.151166848
AC196637.2_FG002	0.513820055	no	no	no	NA	noCNV	0.968065326	0.317281258
AC196708.3_FG006	0.011581925	no	no	no	DownOnDS	noCNV	0.156532631	0.156532631
AC196726.2_FG001	0.184447907	no	no	no	NA	noCNV	NA	0.191488938
AC196779.3_FG003	0.877663106	no	no	no	NA	noCNV	0.058103586	0.028167988
AC196780.4_FG003	4.00E-06	no	no	no	others	noCNV	NA	0.741160092
AC196795.4_FG009	0.369232208	no	no	no	NA	noCNV	NA	NA
AC196961.2_FG003	0.021801435	no	yes	no	DownOnDS	noCNV	0.885875535	0.153360602
AC197013.3_FG003	0.401124983	no	no	no	NA	noCNV	NA	0.759057635
AC197029.3_FG003	0.538843043	no	no	no	NA	noCNV	0.664556782	0.664556782
AC197047.3_FG001	3.52E-09	no	yes	no	UpOnDS	noCNV	0.402877585	0.402877585
AC197056.3_FG002	0.699898907	no	no	no	NA	noCNV	NA	NA
AC197056.3_FG005	0.903846148	no	no	no	NA	noCNV	NA	NA
AC197122.3_FG003	0.107163225	no	no	no	NA	noCNV	0.11324021	0.086008615
AC197146.3_FG001	0.003115724	no	yes	no	DownOnDS	noCNV	0.053822286	0.053822286
AC197146.3_FG002	0.00602536	no	no	yes	DownOnDS	noCNV	0.051659178	0.051659178
AC197246.3_FG001	0.065523155	no	no	no	NA	noCNV	0.128497779	0.046860222
AC197246.3_FG003	0.943360755	no	no	no	NA	noCNV	0.505936886	0.050532908
AC197265.3_FG005	0.990334205	no	no	no	NA	noCNV	NA	NA
AC197267.3_FG001	0.80830278	no	no	no	NA	noCNV	NA	NA
AC197340.3_FG003	0.00163968	no	no	no	others	noCNV	0.185050894	0.185050894
AC197355.3_FG001	0.462774606	no	no	no	NA	noCNV	NA	0.676284644
AC197377.3_FG001	0.219927417	no	no	no	NA	noCNV	NA	NA
AC197387.3_FG004	0.002472199	no	no	no	UpOnDS	noCNV	0.378470639	0.378470639
AC197432.4_FG001	0.786704087	no	no	no	NA	noCNV	NA	NA
AC197545.3_FG002	0.480918259	no	no	no	NA	noCNV	0.112765492	0.112765492
AC197555.3_FG008	0.075280667	no	no	no	NA	DownCNV/PAV	0.317418028	0.317418028
AC197578.4_FG001	0.889720496	no	no	no	NA	noCNV	0.019182166	0.019182166
AC197672.3_FG002	0.005892499	no	yes	yes	DownOnDS	noCNV	0.176843007	0.176843007
AC197699.3_FG002	0.775632207	no	no	no	NA	noCNV	NA	NA
AC197699.3_FG003	0.119266537	no	no	no	NA	noCNV	0.008455816	0.008455816
AC197705.4_FG003	8.44E-05	no	no	no	others	noCNV	0.237119837	0.167616341
AC197705.4_FG006	0.043349135	no	no	no	UpOnDS	noCNV	0.364681444	0.318061026
AC197705.4_FG007	0.583811183	no	no	no	NA	noCNV	0.237555533	0.144746103
AC197705.4_FG008	0.366876372	no	no	no	NA	noCNV	NA	0.439309285
AC197705.4_FG011	0.672228026	no	no	no	NA	noCNV	0.557374725	0.557374725
AC197714.3_FG004	0.889186233	no	no	no	NA	noCNV	NA	NA
AC197717.3_FG002	0.140594351	no	no	no	NA	noCNV	0.019237998	0.014191989
AC197758.3_FG004	0.152431109	no	no	no	NA	noCNV	0.537436144	0.537436144
AC197764.4_FG003	0.002584802	no	no	yes	others	noCNV	0.859342016	0.708998026
AC197770.3_FG002	0.313495519	no	no	no	NA	noCNV	NA	0.231605964
AC197771.3_FG001	0.775029207	no	no	no	NA	noCNV	NA	NA
AC197901.3_FG003	0.152447928	no	no	no	NA	noCNV	NA	NA
AC198169.4_FG004	0.008043388	no	no	no	UpOnDS	noCNV	0.383146476	0.077952767
AC198206.5_FG001	0.863190154	no	no	no	NA	noCNV	0.320153883	0.320153883
AC198352.4_FG005	0.719557943	no	no	no	NA	noCNV	NA	0.772661954
AC198353.5_FG001	0.001023098	no	yes	yes	others	noCNV	0.892127442	0.892127442
AC198353.5_FG004	0.753969685	no	no	no	NA	noCNV	0.211112565	0.153188459
AC198361.3_FG004	0.113753001	no	no	no	NA	noCNV	0.080021813	0.080021813
AC198382.3_FG001	0.983972828	no	no	no	NA	noCNV	NA	NA
AC198403.3_FG001	0.910130567	no	no	no	NA	noCNV	NA	NA
AC198418.3_FG005	6.37E-05	no	no	no	UpOnDS	noCNV	0.065517528	0.065517528
AC198481.3_FG004	0.263677763	no	no	no	NA	noCNV	0.104352522	0.104352522
AC198490.3_FG003	0.422675412	no	no	no	NA	noCNV	NA	0.04668549
AC198518.3_FG002	0.006904389	no	no	no	others	noCNV	NA	NA
AC198518.3_FG003	0.181102015	no	no	no	NA	noCNV	0.26493175	0.26493175
AC198699.3_FG004	0.507888582	no	no	no	NA	noCNV	NA	NA
AC198700.2_FG004	0.307560311	no	no	no	NA	noCNV	0.04481715	0.039016685
AC198725.4_FG004	0.432976451	no	no	no	NA	noCNV	0.389040664	0.389040664
AC198725.4_FG007	0.668417686	no	no	no	NA	noCNV	0.141590434	0.026803563
AC198725.4_FG009	0.974234757	no	no	no	NA	noCNV	NA	NA
AC198923.4_FG002	0.01736058	no	no	no	others	DownCNV/PAV	NA	0.004590308
AC198937.4_FG003	0.062082555	no	no	no	NA	noCNV	0.597245223	0.597245223
AC198982.3_FG006	0.960846562	no	no	no	NA	noCNV	NA	NA
AC199001.3_FG005	0.038623791	no	no	no	DownOnDS	noCNV	0.337091205	0.337091205
AC199039.3_FG003	0.046712493	no	no	no	others	noCNV	0.098290621	0.098290621
AC199058.2_FG001	0.872684145	no	no	no	NA	noCNV	0.173731646	0.173731646
AC199067.2_FG004	0.681313947	no	no	no	NA	noCNV	0.113431659	0.11097411
AC199068.2_FG017	0.030833056	no	no	no	UpOnDS	noCNV	NA	0.19782529
AC199315.4_FG001	0.001080346	no	no	no	DownOnDS	noCNV	0.619985739	0.226687998
AC199363.4_FG003	0.205304146	no	no	no	NA	noCNV	0.033790511	0.033790511
AC199487.4_FG003	0.947789362	no	no	no	NA	noCNV	NA	NA
AC199526.5_FG002	1.40E-07	no	yes	yes	DownOnDS	noCNV	0.362874868	0.065521771
AC199526.5_FG003	0.297830951	no	no	no	NA	noCNV	0.139122346	0.139122346
AC199541.4_FG001	0.095854417	no	no	no	NA	UpCNV	NA	NA
AC199541.4_FG004	0.269231887	no	no	no	NA	noCNV	NA	NA
AC199541.4_FG007	0.180457132	no	no	no	NA	noCNV	0.66168961	0.44033213
AC199571.3_FG004	0.609568737	no	no	no	NA	noCNV	NA	0.346740937
AC199703.3_FG003	0.295916109	no	no	no	NA	noCNV	NA	0.068655411
AC199705.3_FG008	0.076422201	no	no	no	NA	noCNV	NA	NA
AC199765.4_FG008	0.507717438	no	no	no	NA	noCNV	0.058875698	0.058875698
AC199782.5_FG001	0.209547803	no	no	no	NA	noCNV	0.511362515	0.057530692
AC199782.5_FG002	0.002054746	no	yes	no	DownOnDS	noCNV	0.118174849	0.118174849
AC199782.5_FG003	0.715260363	no	no	no	NA	noCNV	0.387520624	0.387520624
AC199826.4_FG003	0.310354707	no	no	no	NA	DownCNV/PAV	0.163121779	0.163121779
AC199873.4_FG002	0.627725013	no	no	no	NA	noCNV	NA	0.08348815
AC199893.4_FG002	0.219384097	no	no	no	NA	noCNV	NA	NA
AC199911.5_FG001	0.37343003	no	no	no	NA	noCNV	NA	0.736774588
AC200057.4_FG007	0.971332884	no	no	no	NA	noCNV	0.160441114	0.160441114
AC200099.4_FG003	0.733531508	no	no	no	NA	noCNV	NA	NA
AC200099.4_FG006	0.335103303	no	no	no	NA	noCNV	NA	0.192981249
AC200122.4_FG004	0.839803108	no	no	no	NA	noCNV	NA	NA
AC200178.2_FG003	0.501184754	no	no	no	NA	noCNV	NA	NA
AC200210.1_FG006	0.30110589	no	no	no	NA	noCNV	0.84968079	0.84968079
AC200287.4_FG006	0.168457677	no	no	no	NA	DownCNV/PAV	0.174516674	0.174516674
AC200298.4_FG001	0.650494088	no	no	no	NA	noCNV	NA	NA
AC200495.3_FG001	0.472765016	no	no	no	NA	noCNV	NA	NA
AC200725.4_FG003	0.186065449	no	no	no	NA	noCNV	NA	NA
AC200753.3_FG003	0.393948024	no	no	no	NA	noCNV	0.050386523	0.050386523
