GeneID	IDENTIFIER	BINCODE	NAME	Class	interaction.padj	DS3	DS4	DS5	DS6	DS7	DS8	DS9	DS10	DS11	DRW11	WW3	WW4	WW5	WW6	WW7	WW8	WW9	WW10	DAY3	DAY4	DAY5	DAY6	DAY7	DAY8	DAY9	DAY10
GRMZM2G158657	grmzm2g158657_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.247572022	60.5	78	51	64	87	107	107	65	114	47.5	68.5	22.5	26.5	41	41	50.5	50	53	-0.179168846	1.793549123	0.944504887	0.642447995	1.085391491	1.083255504	1.097610797	0.294447358
GRMZM2G164580	grmzm2g164580_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.048880874	155.5	196	182.5	228.5	222.5	181	207.5	240	292.5	194.5	163	206.5	181	197.5	160.5	169.5	165.5	163.5	-0.067957384	-0.075288127	0.011906767	0.210341512	0.471232039	0.094704424	0.326280119	0.55374377
GRMZM2G037875	grmzm2g037875_t03	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.199244724	626	288	392.5	445	491	663	667.5	630.5	390	94	513.5	189	369	335.5	351.5	360.5	385	399	0.285798381	0.607682577	0.089071838	0.40749257	0.482198335	0.879009611	0.793909391	0.660107624
GRMZM2G141473	grmzm2g141473_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.22427235	6053.5	5693.5	6137.5	6221	7896	10357	9386	9769	7589.5	2664	4631	4849.5	4201.5	3238.5	4675	4960.5	4678	5146	0.386445761	0.231479794	0.546746635	0.941820762	0.756155625	1.062048722	1.004618599	0.924759432
GRMZM2G141535	grmzm2g141535_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.0000368	878.5	760	827	740.5	527.5	601	600	799.5	692.5	442.5	829.5	720.5	617	574.5	589	695	505.5	398.5	0.082800305	0.077000988	0.42261684	0.366192843	-0.15909654	-0.209647987	0.247251409	1.004518309
GRMZM2G081571	grmzm2g081571_t02	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	5.78E-09	798	633.5	564	582	713.5	968.5	1055.5	1197.5	1383.5	502	851	596.5	585	549	561.5	464.5	501.5	557.5	-0.092770385	0.086822481	-0.052741462	0.084213004	0.345627407	1.060073452	1.073604973	1.102981946
GRMZM2G083186	grmzm2g083186_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.461718628	54	41	53.5	53	78	118.5	93	150	176	36	30	30	32.5	40.5	41	41	28	53.5	0.847996907	0.450661409	0.719099173	0.388070452	0.927850214	1.531191244	1.731803889	1.487351704
GRMZM2G406830	grmzm2g406830_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	0.000221936	158.5	140	152.5	212	178	238	277	435.5	484	91	155	116.5	111	111.5	110	125	116	101.5	0.032214625	0.265096872	0.458249566	0.927020555	0.694373717	0.929033479	1.255761171	2.101192991
GRMZM2G044469	grmzm2g044469_t01	17.1.1	hormone metabolism.abscisic acid.synthesis-degradation	ABA	1.54E-08	176	143.5	154.5	199	200	279.5	347.5	576.5	801.5	114	158	116.5	130	141.5	120	165.5	117.5	118.5	0.15565087	0.300720782	0.249095215	0.491966378	0.736965594	0.756017066	1.564352221	2.282433549
GRMZM5G848550	grmzm5g848550_t01	17.1.1.1.1	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.zeaxanthin epoxidase	ABA	0.701772408	180.5	308.5	170	124.5	176.5	219	129	130	118	52	179	362.5	226	156	223	169.5	161	177.5	0.01203925	-0.232710506	-0.410788026	-0.325400287	-0.337375527	0.369645596	-0.319689623	-0.449307401
GRMZM2G136344	grmzm2g136344_t02	17.1.1.1.1	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.zeaxanthin epoxidase	ABA	0.523953766	1429.5	2477.5	1514.5	1161.5	1162.5	1640.5	1392.5	1516	1668	532.5	1422	2476.5	1511	1587	1302.5	1377.5	1163.5	1532	0.007589155	0.000582436	0.003337918	-0.450312974	-0.164052656	0.252083275	0.259206117	-0.015146544
GRMZM2G127139	grmzm2g127139_t01	17.1.1.1.1	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.zeaxanthin epoxidase	ABA	0.000176161	978	1386.5	923.5	980.5	1104.5	1479	1307	1135	1425	401.5	981.5	1298.5	999.5	1004.5	761	745	734.5	887	-0.005153803	0.094601602	-0.114094606	-0.034888029	0.53742506	0.989309722	0.831424745	0.355686288
GRMZM2G150363	grmzm2g150363_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.003454741	133	115.5	415	238	86	76	25	6	10	63	107	96.5	184	105.5	56	62.5	16	32.5	0.313815449	0.259292004	1.17340557	1.173718575	0.618909833	0.282143229	0.64385619	-2.437405312
GRMZM2G057243	grmzm2g057243_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.90797128	4322	4303.5	3333.5	2917.5	3491	4351.5	3837	2884.5	3291.5	2580	3985	4437	3721	3086.5	3616.5	3674.5	3108.5	3781	0.117119348	-0.044074084	-0.158652663	-0.081239135	-0.050953795	0.243964845	0.303760186	-0.390446586
GRMZM2G110192	grmzm2g110192_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.29787689	1420.5	1725	1495.5	973.5	565	1014.5	611	370	624	418.5	1506	1604	1191.5	1221.5	458	625.5	284.5	376	-0.084322938	0.10492222	0.327848959	-0.32740098	0.302903269	0.697687076	1.102743728	-0.023207391
AC197699.3_FG002	ac197699.3_fgt002	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.775632207	9.5	13	7.5	13.5	11	13.5	14	11.5	13	7.5	10	5	7.5	5	6	11	9.5	7.5	-0.074000581	1.378511623	0	1.432959407	0.874469118	0.295455884	0.559427409	0.61667136
GRMZM5G838285	grmzm5g838285_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.022251117	7.5	18.5	34	17.5	47.5	116	61	77	146	12.5	9	6	11.5	8.5	9	9.5	21.5	19.5	-0.263034406	1.624490865	1.563900885	1.041820176	2.399930607	3.610053482	1.504472583	1.981384322
GRMZM5G858784	grmzm5g858784_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.155415255	5.5	14.5	24	14	11	14.5	16	22.5	42.5	5	12	5.5	8	6	1.5	7.5	9	4.5	-1.125530882	1.398549376	1.584962501	1.222392421	2.874469118	0.9510904	0.830074999	2.321928095
GRMZM2G417954	grmzm2g417954_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	0.0000139	52	22.5	35	56	146	668.5	603	663	287	9	81.5	10	29	70	86.5	63.5	216	78	-0.648288436	1.169925001	0.271302022	-0.321928095	0.755196331	3.396099063	1.48112669	3.087462841
GRMZM2G014392	grmzm2g014392_t01	17.1.1.1.10	hormone metabolism.abscisic acid.synthesis-degradation.synthesis.9-cis-epoxycarotenoid dioxygenase	ABA	2.91E-14	463.5	535	694.5	679.5	1244.5	2947.5	2947.5	4068.5	3128	88.5	467.5	198.5	366.5	396.5	354	269	424	355.5	-0.012397026	1.430399884	0.922161496	0.777152685	1.813744965	3.453813735	2.797355643	3.516575526
GRMZM5G883126	grmzm5g883126_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.015523055	38.5	29	31.5	36	38	32.5	21	14	9	59	39	22	16.5	35.5	34	45	38.5	37	-0.018615678	0.398549376	0.932885804	0.020177882	0.160464672	-0.469485283	-0.874469118	-1.402098444
GRMZM2G405699	grmzm2g405699_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.072886558	320	351	323.5	277	139.5	116.5	163.5	157	116.5	294.5	433.5	399	323	348.5	260	256.5	227.5	206.5	-0.437960088	-0.184917716	0.002231547	-0.33127268	-0.898246501	-1.138628871	-0.47657591	-0.395377223
GRMZM2G125596	grmzm2g125596_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.902307631	1204.5	965.5	967	957	1023	876.5	871.5	825.5	1008.5	1038.5	1192	1065	953.5	1057.5	1114.5	912	879.5	925	0.015050158	-0.141505266	0.020282951	-0.144066834	-0.123590472	-0.057279733	-0.013182913	-0.16418515
GRMZM2G002075	grmzm2g002075_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.198456497	283.5	238.5	260.5	286	374.5	424	338.5	348.5	369.5	256.5	271	222.5	314	361.5	331.5	320.5	351	352.5	0.065055884	0.10018393	-0.269481187	-0.3379805	0.175956848	0.403739908	-0.052315197	-0.016464601
GRMZM2G073892	grmzm2g073892_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.19040991	1098.5	1226	994	773.5	1278	1115	1134	1402.5	1919	909	1235.5	1360	1161.5	1197	1361.5	914	1212.5	1188	-0.169560141	-0.149647672	-0.224671397	-0.629949955	-0.091309146	0.28677764	-0.096564107	0.239465935
GRMZM2G123540	grmzm2g123540_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.596754059	1235	1211.5	1180.5	1336	1296	1253	1370.5	1438	1861	1408	1092	1222.5	1186	1268	1290	1276.5	1168	1182	0.177538186	-0.01304006	-0.006705968	0.075365262	0.006694653	-0.026807123	0.230662054	0.28283364
GRMZM2G321940	grmzm2g321940_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.001792252	362	391	413.5	492.5	404	402.5	510.5	610.5	720	395	350	355.5	371.5	356	317.5	354	300	335	0.048634775	0.137319048	0.154525119	0.468246483	0.347598701	0.185239423	0.76694846	0.8658302
GRMZM2G140160	grmzm2g140160_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.285978874	95	123.5	136.5	136	114.5	132	150	176	188	124.5	90.5	97	99.5	119.5	100.5	105	111.5	93	0.070009721	0.348454389	0.45613252	0.186596033	0.188152097	0.330148602	0.427918791	0.920272808
GRMZM2G033413	grmzm2g033413_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.195851177	183	250	197	249.5	204	229.5	242	295	443	159	199.5	204.5	156.5	196.5	153.5	171.5	223	117	-0.124545098	0.289827252	0.332032973	0.344510503	0.410330497	0.420285577	0.117963337	1.334206425
GRMZM2G479760	grmzm2g479760_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.0000937	386.5	649	538.5	495	926	1124.5	1162.5	1435	1913.5	94	316	394	634.5	445	440	320.5	441.5	481.5	0.290543856	0.720022849	-0.236673819	0.153623189	1.07350867	1.810887399	1.396745373	1.575443034
GRMZM2G478417	grmzm2g478417_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.009212155	418.5	434.5	445	585	605	782	762	1123.5	1916.5	273.5	349	311.5	309.5	395	432.5	499	543	373.5	0.262000586	0.480124014	0.523865927	0.566583971	0.48423501	0.648128792	0.4888388	1.588819976
GRMZM2G406715	grmzm2g406715_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.016173764	25.5	24	36	32	29.5	45	53	74.5	97	33	30.5	24.5	21.5	26.5	17.5	18.5	16.5	23	-0.258311996	-0.029747343	0.743660247	0.272079545	0.753360032	1.282399731	1.683526335	1.695606564
GRMZM2G157722	grmzm2g157722_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.00000434	234.5	246	200	233	264	352	329.5	488	637.5	134.5	230	199.5	168.5	159.5	155.5	162	195	140	0.027954062	0.302269569	0.247251409	0.546773531	0.763623349	1.119581616	0.756804341	1.801454321
GRMZM2G008166	grmzm2g008166_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.006917549	31	32.5	43.5	58.5	40	77	65.5	94	153	22	24.5	36	24.5	27	27.5	34	42	20.5	0.339486466	-0.147557188	0.828233652	1.115477217	0.540568381	1.179323699	0.641105579	2.197036847
GRMZM2G168079	grmzm2g168079_t01	17.1.2	hormone metabolism.abscisic acid.signal transduction	ABA	0.021216515	10.5	13	10	10	3	2.5	3.5	20	26	10.5	9.5	5.5	6	5.5	6.5	7	10	1.5	0.144389909	1.2410081	0.736965594	0.862496476	-1.115477217	-1.485426827	-1.514573173	3.736965594
GRMZM2G144707	grmzm2g144707_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	7.28E-33	182	162	177	105	77	58.5	49	19	16.5	144	173	158.5	199	172	192	176	211.5	233	0.073166413	0.031510973	-0.16901907	-0.712019237	-1.31817596	-1.589066899	-2.109804009	-3.616258631
GRMZM2G176841	grmzm2g176841_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	4.89E-08	53.5	75	64.5	49	24	17	8	5.5	10	61	54.5	58	59	53.5	45	45.5	42.5	43	-0.026717338	0.370837695	0.128584206	-0.126757142	-0.906890596	-1.420331799	-2.409390936	-2.966833136
GRMZM2G376548	grmzm2g376548_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.000028	82.5	71.5	60.5	52.5	25.5	29.5	26	11.5	12	87	69.5	79.5	63	68.5	56.5	56	52	61	0.247381142	-0.153011619	-0.058416686	-0.383786565	-1.14775362	-0.924711873	-1	-2.407175382
GRMZM2G311011	grmzm2g311011_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.569620552	7	8	2.5	3.5	3	1	2	1	0	7	5.5	4.5	6.5	4.5	6.5	5.5	5	3.5	0.347923303	0.830074999	-1.378511623	-0.362570079	-1.115477217	-2.459431619	-1.321928095	-1.807354922
GRMZM2G046952	grmzm2g046952_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.005629622	452.5	411	281.5	198	176.5	178	189.5	193.5	65.5	111	817.5	526.5	831	990	621	226.5	331	421	-0.853300938	-0.357295137	-1.561713555	-2.321928095	-1.814925085	-0.347633809	-0.804633369	-1.121486667
GRMZM2G144701	grmzm2g144701_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.105964092	66	51.5	51	71.5	52.5	35	33	33.5	34	81.5	44	69	34.5	57	57.5	65	62.5	59	0.584962501	-0.42202393	0.563900885	0.326981323	-0.131244533	-0.893084796	-0.921390165	-0.816553859
GRMZM2G046782	grmzm2g046782_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.001351754	177.5	342.5	326.5	111.5	203	126	137	145	83.5	116	286.5	466.5	441.5	452	330	143	198.5	213	-0.690716114	-0.445773093	-0.435330446	-2.019279062	-0.700986297	-0.182591413	-0.534963114	-0.55480053
GRMZM2G009326	grmzm2g009326_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.204041549	458.5	564.5	413	425	520	527	484.5	436.5	561.5	579.5	535.5	544	588	566	568	549.5	589.5	631	-0.223964841	0.05336693	-0.509674373	-0.413339212	-0.127379306	-0.060316519	-0.282995148	-0.531658351
GRMZM2G130548	grmzm2g130548_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.018712742	240.5	231.5	274	305	375	372	368.5	311	294.5	303	139	204.5	222	260	377.5	429.5	506	396.5	0.790952011	0.17891135	0.303616217	0.230297619	-0.009586049	-0.20735551	-0.457472766	-0.350406286
GRMZM2G178509	grmzm2g178509_t02	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.310568235	210.5	157	170.5	127.5	140.5	238.5	180	160	209.5	155	168	195	201.5	193.5	192	200	185	197.5	0.325359	-0.312709565	-0.2410081	-0.601836319	-0.450536181	0.253989266	-0.039528364	-0.303780748
GRMZM2G110929	grmzm2g110929_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.236956731	146.5	150	151.5	142.5	135	112.5	133.5	118	101.5	139.5	116.5	134	149	140	150.5	158	140	143.5	0.33057071	0.1627295	0.024005463	0.025535092	-0.15680408	-0.489999557	-0.068587085	-0.282263877
GRMZM5G892025	grmzm5g892025_t02	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.552618825	11.5	17.5	7	7	13.5	12	24.5	11.5	8	11	14	19	33.5	13	22	20.5	17	13.5	-0.283792966	-0.118644496	-2.258734268	-0.893084796	-0.704544116	-0.772589504	0.527247003	-0.231325546
GRMZM2G314955	grmzm2g314955_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.212030405	714	724	679	658	1082	1132	1018	921.5	1303	595.5	630.5	624	772	754	896.5	899	1170.5	1074.5	0.179427704	0.214443668	-0.185189273	-0.19647694	0.271325011	0.332480937	-0.201387373	-0.221609412
GRMZM5G862101	grmzm5g862101_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.099028708	293	388.5	265.5	234.5	333	389.5	378	327.5	407.5	297.5	270	337	360	337	329.5	288	335	379.5	0.117941257	0.205166007	-0.439285046	-0.523160669	0.015243712	0.435554517	0.174225139	-0.212604979
GRMZM2G013555	grmzm2g013555_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.69645902	100.5	106	102.5	142	77	53.5	53	49.5	56	128	66.5	115	79.5	105	80.5	100.5	85	52	0.595769256	-0.117569596	0.366597144	0.435501602	-0.064130337	-0.909584705	-0.681470482	-0.071083098
GRMZM2G078501	grmzm2g078501_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.479268725	262	246.5	279.5	274.5	290	287.5	335.5	316.5	305.5	279	193.5	272	324.5	272	314.5	321	311	318	0.437233245	-0.142019005	-0.215370195	0.013199498	-0.117007117	-0.159011341	0.109398186	-0.006821266
GRMZM2G054651	grmzm2g054651_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.445073994	224.5	265	244	346.5	229	197.5	244.5	205.5	165	304.5	194	272.5	216	232.5	245.5	268	251.5	203.5	0.210658793	-0.04026387	0.175849835	0.575624636	-0.100375426	-0.440380347	-0.040723935	0.014109599
GRMZM2G031930	grmzm2g031930_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.969664303	118.5	129.5	136.5	152	173	163.5	218	227	210	106.5	117	123.5	134.5	152	167.5	155.5	187	186.5	0.018378529	0.068441056	0.021294778	0	0.046610942	0.072376055	0.221289865	0.283516667
GRMZM2G111922	grmzm2g111922_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.035569167	448	430	442.5	224.5	688.5	621.5	596	579.5	526	370.5	487	415	469	380	425.5	383.5	534.5	467.5	-0.12042304	0.051225323	-0.083910468	-0.759283974	0.694297522	0.696527814	0.157122383	0.309842296
GRMZM2G047860	grmzm2g047860_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.588974265	259	306	304	341.5	284	279	349	349.5	390	258	231	296.5	309	284	291	298.5	319.5	271	0.165059246	0.045499548	-0.023535514	0.265994649	-0.035128223	-0.097465809	0.127411105	0.366999604
GRMZM2G073034	grmzm2g073034_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.521445355	72.5	28	68	77	97.5	129.5	146.5	112	85.5	68.5	34	39.5	68	73	86.5	74.5	74.5	78.5	1.092446249	-0.496425826	0	0.076961982	0.172702086	0.797639767	0.975588334	0.512734173
GRMZM2G114153	grmzm2g114153_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.000648915	90	56.5	50	51.5	50	85	87	104.5	45.5	26	103.5	77.5	93	113	84.5	51.5	59	67	-0.201633861	-0.455945443	-0.895302621	-1.133678435	-0.757023247	0.722890409	0.560300446	0.641269942
GRMZM2G159962	grmzm2g159962_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	5.10E-17	125	94.5	55.5	65.5	141.5	182.5	135.5	161	88	107	140.5	189.5	160.5	205	116.5	76	87	97	-0.168642036	-1.003811614	-1.532013621	-1.646057098	0.280472098	1.26382514	0.639205546	0.731004036
GRMZM2G113167	grmzm2g113167_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.014752054	148	69.5	141	151.5	226.5	326.5	353	291	410.5	122	92.5	88.5	135	101	144.5	143	143	147.5	0.678071905	-0.348664477	0.062735755	0.584962501	0.648441558	1.191067845	1.303653036	0.980304199
GRMZM2G413887	grmzm2g413887_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.325465527	9.5	10.5	16	7	13.5	15	13	15.5	12	9.5	9	6.5	8	14	8.5	7	6.5	7	0.078002512	0.691877705	1	-1	0.667424661	1.099535674	1	1.146841388
GRMZM2G070375	grmzm2g070375_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.007629684	140	165	192.5	188	338	465	362	594	676	103.5	123	140	167.5	141	183.5	223.5	248	181	0.186768512	0.237039197	0.20069735	0.415037499	0.881243183	1.056955885	0.545649577	1.714473234
GRMZM2G092925	grmzm2g092925_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.000000587	105.5	145.5	99.5	98	145	224.5	244	347	546.5	70	121.5	111.5	111.5	84.5	107	105	110.5	101	-0.203713315	0.383975443	-0.164275279	0.213830408	0.438442104	1.096326117	1.142834778	1.78058037
GRMZM2G106622	grmzm2g106622_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	6.46E-12	219.5	342.5	376	435	1111.5	2547.5	2362.5	3837.5	5989.5	338.5	211.5	213.5	196	186.5	280	231	421.5	351.5	0.053563276	0.681867918	0.939879008	1.22183977	1.989009216	3.46311739	2.486709793	3.448570156
AC233879.1_FG002	ac233879.1_fgt002	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.013589121	3	11	15.5	13.5	1	2.5	1.5	45.5	178	4	8.5	18	2.5	3	4.5	3	3.5	3	-1.502500341	-0.710493383	2.632268215	2.169925001	-2.169925001	-0.263034406	-1.222392421	3.922832139
GRMZM2G154735	grmzm2g154735_t01	17.1.3	hormone metabolism.abscisic acid.induced-regulated-responsive-activated	ABA	0.001478803	98.5	184.5	330	592.5	1052	2852.5	1815	3231	5086	55.5	106	147	45	50	80	280.5	162	104	-0.105868635	0.327804661	2.874469118	3.566815154	3.716990894	3.346154211	3.48590383	4.957325317
GRMZM2G091540	grmzm2g091540_t01	17.2.1	hormone metabolism.auxin.synthesis-degradation	AUX	0.000000573	207.5	450	378.5	178.5	534.5	327	204	180.5	72	29.5	300	61.5	792.5	342.5	562.5	146	455.5	610.5	-0.531851164	2.871266686	-1.066117635	-0.940179914	-0.073663148	1.163322267	-1.158881902	-1.757992458
GRMZM5G833406	grmzm5g833406_t01	17.2.1	hormone metabolism.auxin.synthesis-degradation	AUX	0.046813456	101.5	151.5	120.5	43	32.5	32.5	24	18	12.5	43	51.5	84	130	34	37	29	52	44.5	0.97883539	0.850856561	-0.109478477	0.338801913	-0.187085553	0.164386818	-1.115477217	-1.30580843
GRMZM2G125552	grmzm2g125552_t01	17.2.1	hormone metabolism.auxin.synthesis-degradation	AUX	0.074735085	152.5	207	204	160.5	102.5	107	81.5	51.5	72	196	165	193	191	149.5	143.5	148.5	142.5	124	-0.113656782	0.10102992	0.094996514	0.102427813	-0.485426827	-0.472852134	-0.806089955	-1.267695783
