GeneID	Chromosome	Chromosome start	Type of variation	cor
GRMZM2G338037	chr1	43285432	DownCNV/PAV	0.893950991
GRMZM2G179462	chr1	44145286	DownCNV/PAV	0.658123323
GRMZM2G001079	chr1	44336442	DownCNV/PAV	0.855651119
GRMZM2G305267	chr1	45029158	DownCNV/PAV	0.655236963
GRMZM2G380955	chr1	45252090	DownCNV/PAV	0.794755346
GRMZM2G308034	chr1	46063095	DownCNV/PAV	0.907627187
GRMZM2G007206	chr1	46073728	DownCNV/PAV	0.915691202
GRMZM2G104534	chr1	46707442	DownCNV/PAV	0.921020815
GRMZM2G129302	chr1	46994216	DownCNV/PAV	0.883858963
GRMZM2G311465	chr1	48110500	DownCNV/PAV	0.626122856
GRMZM2G017400	chr1	48118862	DownCNV/PAV	0.878224142
GRMZM2G335358	chr1	48143552	DownCNV/PAV	
GRMZM2G064597	chr1	48231386	DownCNV/PAV	
GRMZM2G417867	chr1	48251066	DownCNV/PAV	
GRMZM2G452170	chr1	48483879	UpCNV	
GRMZM2G038015	chr1	49214735	DownCNV/PAV	0.886405815
GRMZM2G302477	chr1	51027128	DownCNV/PAV	
GRMZM2G128644	chr1	52339544	DownCNV/PAV	0.821222614
GRMZM2G421779	chr1	52605265	DownCNV/PAV	0.760512874
GRMZM2G010149	chr1	53801900	DownCNV/PAV	0.6406916
GRMZM2G317033	chr1	54922949	DownCNV/PAV	
GRMZM2G703575	chr1	55915781	DownCNV/PAV	0.720908065
GRMZM2G413154	chr1	56451523	DownCNV/PAV	0.884508282
GRMZM2G311182	chr1	56855845	DownCNV/PAV	0.708463814
GRMZM2G107597	chr1	57356845	DownCNV/PAV	0.881439836
GRMZM2G088166	chr1	60099902	DownCNV/PAV	0.710534523
GRMZM2G082034	chr1	60153198	DownCNV/PAV	0.821768664
GRMZM2G412488	chr1	61148902	DownCNV/PAV	
GRMZM2G140968	chr1	62756427	DownCNV/PAV	0.627012804
GRMZM2G342042	chr1	63184122	DownCNV/PAV	0.683854771
GRMZM2G004984	chr1	63698174	DownCNV/PAV	0.614851661
GRMZM2G024234	chr1	63869063	DownCNV/PAV	0.59129032
GRMZM2G703602	chr1	64453676	DownCNV/PAV	0.773656891
GRMZM2G001361	chr1	64694088	UpCNV	0.859621831
GRMZM2G077991	chr1	66722393	DownCNV/PAV	0.904443456
GRMZM2G070462	chr1	67040414	DownCNV/PAV	0.804135812
GRMZM2G340286	chr1	67100261	DownCNV/PAV	0.830211681
GRMZM2G703624	chr1	67554061	DownCNV/PAV	0.622904823
GRMZM2G370519	chr1	67952509	DownCNV/PAV	0.579915593
GRMZM2G442109	chr1	69616521	DownCNV/PAV	
GRMZM2G341269	chr1	70447167	DownCNV/PAV	0.912350513
GRMZM2G703634	chr1	70802110	DownCNV/PAV	0.609708364
GRMZM2G313104	chr1	70879265	DownCNV/PAV	0.853247918
GRMZM2G060544	chr1	71186052	DownCNV/PAV	0.865765605
AC212231.3_FG003	chr1	71947026	DownCNV/PAV	0.695049169
GRMZM2G036484	chr1	73128051	DownCNV/PAV	
GRMZM2G423565	chr1	73213807	DownCNV/PAV	
GRMZM2G479340	chr1	75125078	DownCNV/PAV	0.899937052
GRMZM2G106026	chr1	75268195	DownCNV/PAV	0.850490649
GRMZM2G069176	chr1	75356092	DownCNV/PAV	0.754086337
GRMZM2G077316	chr1	75543644	DownCNV/PAV	0.832256517
AC190695.3_FG003	chr1	75836567	DownCNV/PAV	0.504741241
GRMZM2G703644	chr1	76724309	DownCNV/PAV	
GRMZM2G703646	chr1	76731256	DownCNV/PAV	
GRMZM2G039000	chr1	77008930	DownCNV/PAV	0.54596312
GRMZM2G703648	chr1	77130473	DownCNV/PAV	
GRMZM2G703651	chr1	77202676	DownCNV/PAV	0.761819551
AC199541.4_FG001	chr1	77205460	UpCNV	0.79247923
GRMZM2G703656	chr1	78174500	UpCNV	
AC205674.4_FG001	chr1	78848400	DownCNV/PAV	
GRMZM2G143703	chr1	78952183	DownCNV/PAV	0.888018853
GRMZM2G395950	chr1	79218984	DownCNV/PAV	0.555041709
GRMZM2G703658	chr1	79411122	UpCNV	0.703184269
GRMZM2G434514	chr1	79739017	DownCNV/PAV	0.772400146
GRMZM2G133968	chr1	79747781	DownCNV/PAV	0.905161241
AC212979.2_FG006	chr1	79881054	DownCNV/PAV	0.621561072
GRMZM2G148711	chr1	80019377	UpCNV	
GRMZM2G145069	chr1	80102392	DownCNV/PAV	
GRMZM2G025190	chr1	80228136	DownCNV/PAV	0.90477661
GRMZM2G041685	chr1	80289168	DownCNV/PAV	0.783086533
GRMZM2G054653	chr1	80302985	DownCNV/PAV	0.898570542
GRMZM2G480439	chr1	80359270	DownCNV/PAV	0.869997274
GRMZM2G066369	chr1	80426316	DownCNV/PAV	0.900165184
GRMZM2G703661	chr1	80747479	DownCNV/PAV	0.85602503
GRMZM2G125304	chr1	81272017	DownCNV/PAV	0.777971936
GRMZM2G083398	chr1	83214430	DownCNV/PAV	0.872685936
GRMZM2G054304	chr1	84209018	DownCNV/PAV	0.786316456
GRMZM2G077530	chr1	84460981	DownCNV/PAV	0.737997278
GRMZM2G474129	chr1	84486874	DownCNV/PAV	0.704383243
GRMZM2G113761	chr1	85131949	DownCNV/PAV	0.892826093
GRMZM2G373596	chr1	86028900	DownCNV/PAV	
GRMZM2G005480	chr1	86335143	DownCNV/PAV	0.791708023
GRMZM2G309248	chr1	86629059	DownCNV/PAV	0.823587739
GRMZM2G094639	chr1	86907386	DownCNV/PAV	0.795111426
GRMZM2G703670	chr1	89943224	DownCNV/PAV	
GRMZM2G079568	chr1	90973603	DownCNV/PAV	0.598635058
GRMZM2G037255	chr1	91279086	DownCNV/PAV	0.873835719
GRMZM2G703677	chr1	91965650	DownCNV/PAV	
GRMZM2G154580	chr1	92639200	DownCNV/PAV	0.851847423
GRMZM2G021427	chr1	94005265	DownCNV/PAV	0.874628816
GRMZM2G441670	chr1	94099643	UpCNV	
GRMZM2G038034	chr1	94257858	DownCNV/PAV	0.861256747
GRMZM2G176595	chr1	94436130	DownCNV/PAV	0.87099272
AC204821.3_FG004	chr1	94570783	DownCNV/PAV	0.827809967
AC208680.3_FG001	chr1	95081051	UpCNV	
GRMZM2G703688	chr1	95549333	DownCNV/PAV	
GRMZM2G034096	chr1	96536257	DownCNV/PAV	0.928415585
GRMZM2G703691	chr1	97063130	DownCNV/PAV	
GRMZM2G072371	chr1	98868147	DownCNV/PAV	
GRMZM2G358917	chr1	101938861	DownCNV/PAV	
GRMZM2G070271	chr1	102148893	DownCNV/PAV	0.490213863
GRMZM2G703701	chr1	102968417	DownCNV/PAV	0.925893553
GRMZM2G462080	chr1	103764685	DownCNV/PAV	0.708167839
GRMZM2G000129	chr1	103845281	DownCNV/PAV	0.837157293
GRMZM2G383631	chr1	104022394	DownCNV/PAV	0.742906344
GRMZM2G324819	chr1	104107777	DownCNV/PAV	
GRMZM2G433627	chr1	104519162	UpCNV	
GRMZM2G174819	chr1	105446340	DownCNV/PAV	0.675181175
GRMZM2G169812	chr1	106175740	DownCNV/PAV	
GRMZM2G420630	chr1	107114434	DownCNV/PAV	0.913841514
GRMZM2G079774	chr1	107496451	DownCNV/PAV	0.888749058
GRMZM2G703706	chr1	108374652	DownCNV/PAV	
GRMZM2G073026	chr1	109206846	DownCNV/PAV	0.446856633
GRMZM2G435244	chr1	109959719	DownCNV/PAV	0.806877393
GRMZM2G466993	chr1	114445005	DownCNV/PAV	
GRMZM2G300424	chr1	114589749	DownCNV/PAV	0.395175029
GRMZM2G004041	chr1	118278657	DownCNV/PAV	0.522473578
GRMZM2G067370	chr1	118960507	DownCNV/PAV	0.665254602
GRMZM2G433855	chr1	124033075	UpCNV	0.911114169
GRMZM2G113065	chr1	125503393	DownCNV/PAV	0.903301274
GRMZM2G345619	chr1	127903760	UpCNV	0.679138768
GRMZM2G703746	chr1	129993993	UpCNV	0.876894537
GRMZM2G505324	chr1	133185779	UpCNV	0.851323359
GRMZM2G392787	chr1	137300357	DownCNV/PAV	
GRMZM2G703751	chr1	139570116	DownCNV/PAV	0.590110605
GRMZM2G125052	chr1	143725464	DownCNV/PAV	0.774539217
GRMZM2G078876	chr1	147355064	DownCNV/PAV	0.900551557
GRMZM2G038811	chr1	147577978	DownCNV/PAV	0.668411802
GRMZM2G703769	chr1	148642049	DownCNV/PAV	0.770976701
GRMZM2G058382	chr1	148857237	UpCNV	0.643280287
AC200138.3_FG003	chr1	149160466	DownCNV/PAV	0.87144341
GRMZM2G348993	chr1	149196471	DownCNV/PAV	0.918296014
GRMZM2G051114	chr1	149928669	DownCNV/PAV	0.853212399
GRMZM2G456357	chr1	151573493	DownCNV/PAV	0.903029549
GRMZM2G119252	chr1	152176464	DownCNV/PAV	0.893399095
GRMZM2G703772	chr1	153039800	DownCNV/PAV	0.796535703
GRMZM2G166234	chr1	153773317	DownCNV/PAV	0.767072965
GRMZM2G703776	chr1	153870739	DownCNV/PAV	0.832973218
GRMZM2G300600	chr1	153927025	DownCNV/PAV	0.616683576
AC217941.2_FG002	chr1	154981238	DownCNV/PAV	0.908997311
GRMZM2G703778	chr1	155429512	DownCNV/PAV	
GRMZM2G179281	chr1	155649139	DownCNV/PAV	0.927087038
GRMZM2G179317	chr1	155678264	DownCNV/PAV	
GRMZM2G399325	chr1	156039107	DownCNV/PAV	0.793000374
GRMZM2G093038	chr1	156915510	DownCNV/PAV	0.38712206
GRMZM2G429128	chr1	157216641	DownCNV/PAV	0.734924954
GRMZM2G179138	chr1	158961914	DownCNV/PAV	0.687925085
GRMZM2G121502	chr1	160171416	DownCNV/PAV	0.67088093
GRMZM2G104494	chr1	160737625	DownCNV/PAV	
GRMZM2G139324	chr1	160854377	DownCNV/PAV	0.902947261
GRMZM2G304926	chr1	161271871	DownCNV/PAV	0.795502874
GRMZM2G395443	chr1	161441415	DownCNV/PAV	
GRMZM2G075631	chr1	161477451	DownCNV/PAV	
AF546187.1_FG010	chr1	161953069	DownCNV/PAV	0.676796528
GRMZM2G137293	chr1	162393748	DownCNV/PAV	0.808621106
GRMZM2G179758	chr1	163189072	DownCNV/PAV	0.899410372
GRMZM2G076529	chr1	163424809	DownCNV/PAV	0.742662706
GRMZM2G131907	chr1	164496941	DownCNV/PAV	0.934796604
GRMZM2G157478	chr1	169220240	DownCNV/PAV	
GRMZM2G069317	chr1	169296253	DownCNV/PAV	0.621958236
GRMZM2G350793	chr1	169601872	DownCNV/PAV	0.648156938
GRMZM2G072939	chr1	171647169	DownCNV/PAV	0.841047235
GRMZM2G480705	chr1	172095641	DownCNV/PAV	0.914268243
GRMZM2G469812	chr1	172269198	DownCNV/PAV	0.853516249
GRMZM2G090379	chr1	174801177	DownCNV/PAV	0.652901412
GRMZM2G095389	chr1	176278794	DownCNV/PAV	0.81159444
GRMZM2G095469	chr1	176281505	DownCNV/PAV	0.876481018
GRMZM2G126574	chr1	176352293	DownCNV/PAV	
GRMZM2G703821	chr1	176618053	DownCNV/PAV	0.835109819
GRMZM2G703824	chr1	176732386	DownCNV/PAV	0.736445334
AC199908.4_FG002	chr1	177010390	DownCNV/PAV	0.54571168
GRMZM2G136372	chr1	177738326	DownCNV/PAV	0.735218351
GRMZM2G396477	chr1	178112084	DownCNV/PAV	0.570330658
GRMZM2G049686	chr1	178303563	DownCNV/PAV	
GRMZM2G080603	chr1	178338759	DownCNV/PAV	0.88919229
GRMZM2G136277	chr1	178827808	DownCNV/PAV	0.704769969
GRMZM2G400268	chr1	179459853	DownCNV/PAV	0.900133105
GRMZM2G392791	chr1	179851875	DownCNV/PAV	0.862790353
GRMZM2G169535	chr1	180576536	DownCNV/PAV	0.836955389
GRMZM2G129597	chr1	181343156	DownCNV/PAV	0.826603541
GRMZM2G422960	chr1	182545594	DownCNV/PAV	0.832384895
GRMZM2G459540	chr1	182720304	DownCNV/PAV	0.824620049
GRMZM2G703838	chr1	182877695	DownCNV/PAV	0.559429533
GRMZM2G037265	chr1	183403834	DownCNV/PAV	0.889396035
GRMZM2G037615	chr1	183409376	DownCNV/PAV	0.829359258
GRMZM2G351599	chr1	183528497	DownCNV/PAV	0.814920015
GRMZM2G113229	chr1	183626798	DownCNV/PAV	0.893905228
GRMZM2G113840	chr1	183652570	DownCNV/PAV	0.932033704
GRMZM2G430371	chr1	184226182	DownCNV/PAV	0.658919827
GRMZM2G553846	chr1	184515343	DownCNV/PAV	
GRMZM2G017629	chr1	184625760	DownCNV/PAV	0.793292678
GRMZM2G438824	chr1	184708238	DownCNV/PAV	0.828191662
GRMZM2G438814	chr1	184735371	DownCNV/PAV	
AC213670.4_FG004	chr1	184809077	DownCNV/PAV	
GRMZM2G703843	chr1	184831372	DownCNV/PAV	0.654188664
GRMZM2G050481	chr1	185143202	DownCNV/PAV	
GRMZM2G349864	chr1	185144811	DownCNV/PAV	0.647868668
GRMZM2G050536	chr1	185146081	DownCNV/PAV	0.615637184
GRMZM2G153404	chr1	185170847	DownCNV/PAV	
GRMZM2G354560	chr1	185184914	DownCNV/PAV	0.588678656
GRMZM2G354575	chr1	185186171	DownCNV/PAV	
GRMZM2G134205	chr1	185314957	DownCNV/PAV	0.75394729
GRMZM2G429197	chr1	185400494	DownCNV/PAV	
GRMZM2G119511	chr1	185582872	DownCNV/PAV	0.767631661
GRMZM2G037493	chr1	186316483	DownCNV/PAV	0.619372803
GRMZM2G362303	chr1	186480228	DownCNV/PAV	0.672345173
GRMZM2G308597	chr1	186485691	DownCNV/PAV	
GRMZM2G391281	chr1	186520119	DownCNV/PAV	0.583784688
AC208564.3_FG004	chr1	186581905	DownCNV/PAV	0.624811111
GRMZM2G061791	chr1	186854280	DownCNV/PAV	0.679855217
GRMZM2G359559	chr1	186861264	DownCNV/PAV	0.768093803
GRMZM2G059012	chr1	186913782	DownCNV/PAV	0.788472766
AC211887.3_FG006	chr1	186922436	DownCNV/PAV	0.714564011
GRMZM2G359434	chr1	186924108	DownCNV/PAV	
GRMZM2G132748	chr1	187484945	DownCNV/PAV	0.810536847
GRMZM2G467263	chr1	188806991	DownCNV/PAV	0.779048869
GRMZM2G056056	chr1	188967009	DownCNV/PAV	0.902948207
GRMZM2G703850	chr1	190881660	DownCNV/PAV	0.571137309
GRMZM2G404188	chr1	191552444	DownCNV/PAV	0.706120766
GRMZM2G703853	chr1	191835840	DownCNV/PAV	0.77422888
GRMZM2G032597	chr1	192151756	DownCNV/PAV	0.901605921
GRMZM2G008789	chr1	192193798	DownCNV/PAV	0.897963771
GRMZM2G096585	chr1	192276496	DownCNV/PAV	0.929650483
GRMZM2G703860	chr1	192968777	DownCNV/PAV	
AC213524.3_FG003	chr1	193381848	DownCNV/PAV	
GRMZM2G142357	chr1	193457456	DownCNV/PAV	0.822010809
GRMZM2G136534	chr1	194437732	DownCNV/PAV	0.919887746
GRMZM2G069594	chr1	196291871	DownCNV/PAV	0.919075909
GRMZM2G045401	chr1	196447793	UpCNV	0.778380022
AC208026.3_FG005	chr1	196512190	DownCNV/PAV	0.851206152
GRMZM2G703866	chr1	197279455	DownCNV/PAV	0.920460131
GRMZM2G379773	chr1	197448284	DownCNV/PAV	0.669846688
GRMZM2G177862	chr1	197966627	UpCNV	0.643438227
GRMZM2G037751	chr1	198473964	DownCNV/PAV	
GRMZM2G083053	chr1	198484442	Both	
GRMZM2G393215	chr1	198741405	DownCNV/PAV	0.804676145
GRMZM2G113165	chr1	198959711	DownCNV/PAV	0.870057184
GRMZM2G007969	chr1	199755237	DownCNV/PAV	0.857650799
GRMZM2G133413	chr1	200555133	DownCNV/PAV	0.867211495
GRMZM2G004191	chr1	201001455	DownCNV/PAV	0.71542041
GRMZM2G115750	chr1	201295616	DownCNV/PAV	0.924081179
GRMZM2G164872	chr1	201864469	DownCNV/PAV	0.704701807
GRMZM2G309269	chr1	202056619	DownCNV/PAV	
AC186231.4_FG002	chr1	202455013	DownCNV/PAV	0.837090305
GRMZM2G106980	chr1	203094940	DownCNV/PAV	0.823746215
GRMZM2G448142	chr1	203344171	Both	0.53477902
GRMZM2G448155	chr1	203345967	UpCNV	
GRMZM2G448389	chr1	203367223	UpCNV	
GRMZM2G448344	chr1	203367226	UpCNV	0.814081831
AC234528.1_FG001	chr1	203680538	DownCNV/PAV	0.449760525
AC208434.3_FG001	chr1	203805168	DownCNV/PAV	0.61531291
GRMZM2G358274	chr1	203833017	DownCNV/PAV	0.663944515
GRMZM2G022866	chr1	204308480	DownCNV/PAV	0.796344419
GRMZM2G023059	chr1	204313015	DownCNV/PAV	0.753087699
GRMZM2G437139	chr1	204398846	DownCNV/PAV	
GRMZM2G703879	chr1	204401124	DownCNV/PAV	
GRMZM2G472547	chr1	204525869	DownCNV/PAV	
GRMZM2G144982	chr1	204551202	DownCNV/PAV	0.725973407
GRMZM2G144993	chr1	204565668	DownCNV/PAV	
GRMZM2G112617	chr1	205889851	DownCNV/PAV	0.851184086
GRMZM2G342672	chr1	205981115	DownCNV/PAV	
GRMZM2G373447	chr1	206117380	DownCNV/PAV	0.504222494
GRMZM2G049057	chr1	206446204	UpCNV	0.868578388
GRMZM2G022293	chr1	206636411	DownCNV/PAV	0.806304651
GRMZM2G089528	chr1	206684601	DownCNV/PAV	0.878263641
AC186619.3_FG001	chr1	206744796	DownCNV/PAV	0.638323648
GRMZM2G092823	chr1	206938256	DownCNV/PAV	0.878935799
AC195794.3_FG002	chr1	207302349	UpCNV	0.656392019
GRMZM2G388140	chr1	207401689	DownCNV/PAV	0.706736152
GRMZM2G061833	chr1	207604595	DownCNV/PAV	0.630785385
GRMZM2G401147	chr1	207703814	DownCNV/PAV	
GRMZM2G703892	chr1	209645226	DownCNV/PAV	
GRMZM2G373859	chr1	209894981	DownCNV/PAV	0.839808345
GRMZM2G108003	chr1	210632478	DownCNV/PAV	0.884415321
GRMZM2G131266	chr1	210739998	DownCNV/PAV	0.895216138
GRMZM2G146971	chr1	210817791	DownCNV/PAV	
AC195161.2_FG003	chr1	211756350	DownCNV/PAV	
GRMZM2G466460	chr1	212537266	DownCNV/PAV	0.572063979
GRMZM2G031677	chr1	212715091	DownCNV/PAV	0.825757161
AC199826.4_FG003	chr1	214933818	DownCNV/PAV	0.833960828
GRMZM2G412966	chr1	214933818	DownCNV/PAV	
GRMZM2G324999	chr1	215993203	DownCNV/PAV	0.871803837
GRMZM2G467848	chr1	216086911	DownCNV/PAV	
GRMZM2G167669	chr1	216104846	DownCNV/PAV	0.896758615
GRMZM2G440313	chr1	216590580	DownCNV/PAV	0.91636554
GRMZM2G032295	chr1	216887086	DownCNV/PAV	
GRMZM2G149511	chr1	217279477	DownCNV/PAV	0.666651432
GRMZM2G413788	chr1	219113081	DownCNV/PAV	
GRMZM2G703910	chr1	220683893	Both	0.723635331
GRMZM2G082335	chr1	221876700	DownCNV/PAV	0.892484535
GRMZM2G328671	chr1	222184766	DownCNV/PAV	0.912353168
GRMZM2G176209	chr1	223230048	DownCNV/PAV	0.906094964
GRMZM2G414834	chr1	224157459	DownCNV/PAV	
AC212023.4_FG006	chr1	224163057	DownCNV/PAV	
GRMZM2G112798	chr1	225100703	UpCNV	0.732956437
GRMZM2G162063	chr1	225783475	Both	
GRMZM2G131618	chr1	226008704	DownCNV/PAV	0.843117486
GRMZM2G418833	chr1	228086356	DownCNV/PAV	0.859098276
GRMZM2G006658	chr1	228234605	DownCNV/PAV	
GRMZM2G307210	chr1	228245064	DownCNV/PAV	
GRMZM2G005977	chr1	228257492	DownCNV/PAV	0.675642771
GRMZM2G006019	chr1	228269473	DownCNV/PAV	
GRMZM2G016741	chr1	228294510	DownCNV/PAV	
GRMZM2G016777	chr1	228303772	DownCNV/PAV	0.674486872
GRMZM2G331599	chr1	228317984	DownCNV/PAV	
AC205713.4_FG004	chr1	228321717	DownCNV/PAV	
GRMZM2G429533	chr1	228341471	DownCNV/PAV	0.833942695
GRMZM2G429548	chr1	228347598	UpCNV	0.628650996
GRMZM2G459290	chr1	228951694	DownCNV/PAV	0.872878188
GRMZM2G131715	chr1	229537626	DownCNV/PAV	0.55965669
GRMZM2G131815	chr1	229545677	DownCNV/PAV	0.930174899
GRMZM2G448054	chr1	231395491	DownCNV/PAV	0.928429411
GRMZM2G087291	chr1	231823907	DownCNV/PAV	0.804287788
GRMZM2G167438	chr1	232090441	DownCNV/PAV	0.913699528
GRMZM2G001699	chr1	232748867	DownCNV/PAV	0.657458791
GRMZM2G001713	chr1	232759900	DownCNV/PAV	0.737835272
GRMZM2G351248	chr1	233730075	UpCNV	0.87394665
GRMZM2G450746	chr1	234009675	UpCNV	
GRMZM2G314328	chr1	234070058	UpCNV	
GRMZM2G144782	chr1	234828417	DownCNV/PAV	0.908619732
GRMZM2G386973	chr1	234934763	DownCNV/PAV	
GRMZM2G067315	chr1	235255411	DownCNV/PAV	0.848689595
GRMZM2G115961	chr1	237184783	DownCNV/PAV	0.62720267
GRMZM2G000536	chr1	238113185	DownCNV/PAV	0.805095425
GRMZM2G046700	chr1	238411884	DownCNV/PAV	0.770006606
GRMZM2G040821	chr1	239757950	DownCNV/PAV	0.88195989
GRMZM2G042506	chr1	240602681	DownCNV/PAV	0.594398561
GRMZM2G339203	chr1	240627186	DownCNV/PAV	0.567583798
GRMZM2G050360	chr1	242650187	DownCNV/PAV	
GRMZM2G317686	chr1	242666013	DownCNV/PAV	
GRMZM2G024624	chr1	244049597	DownCNV/PAV	0.772248094
GRMZM2G461548	chr1	244723146	DownCNV/PAV	0.767023964
AC217264.3_FG002	chr1	245154989	DownCNV/PAV	0.573640104
GRMZM2G300784	chr1	245994570	DownCNV/PAV	0.510339462
GRMZM2G414192	chr1	246823688	UpCNV	
GRMZM2G414215	chr1	246841009	DownCNV/PAV	0.664669802
GRMZM2G018627	chr1	246854468	UpCNV	
GRMZM2G527074	chr1	247099128	DownCNV/PAV	0.603724672
GRMZM2G110622	chr1	247205813	DownCNV/PAV	0.581405029
GRMZM2G703968	chr1	247755785	UpCNV	0.438071287
